Virus.name	UF	Collection.date	Lineage	pangoLEARN_release	SeqN	DataSeq
hCoV-19/Brazil/MG-FIOCRUZ-8186/2021	MG	2021-01-20	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8187/2021	MG	2021-01-12	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8188/2021	MG	2021-01-28	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8189/2021	MG	2021-01-29	B.1.1.143	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8190/2021	MG	2021-02-04	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8191/2021	MG	2021-02-05	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8192/2021	MG	2021-01-28	B.1.234	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8193/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCov-19/Brazil/MG-FIOCRUZ-8199/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8200/2021	MG	2021-02-03	B.1.235	NA	MiSeq_LVRS_056	2021-03-11
hCoV-19/Brazil/MG-FIOCRUZ-8201/2021	MG	2021-02-01	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8202/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8203/2021	MG	2021-02-04	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8204/2021	MG	2021-02-04	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCoV-19/Brazil/MG-FIOCRUZ-8205/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_054	2021-03-07
hCov-19/Brazil/MG-FIOCRUZ-8206/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8207/2021	MG	2021-02-04	B.1.1.7	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8208/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8209/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8210/2021	MG	2021-02-05	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8211/2021	MG	2021-02-02	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8213/2021	MG	2021-02-04	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8214/2021	MG	2021-02-04	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8215/2021	MG	2021-02-04	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8216/2021	MG	2021-02-05	B.1.1.7	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8217/2021	MG	2021-02-04	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8218/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8219/2021	MG	2021-02-04	P.1	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8220/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8221/2021	MG	2021-02-04	P.1	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8222/2021	MG	2021-02-03	P.1	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8223/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8224/2021	MG	2021-02-03	P.1	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8225/2021	MG	2021-02-04	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8226/2021	MG	2021-02-04	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8227/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8228/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8229/2021	MG	2021-02-03	P.2	NA	MiSeq_LVRS_056	2021-03-11
hCov-19/Brazil/MG-FIOCRUZ-8230/2021	MG	2021-02-04	P.1	NA	MiSeq_LVRS_056	2021-03-11
hCoV-19/Brazil/MG-FIOCRUZ-9360/2021	MG	2021-02-15	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9361/2021	MG	2021-02-15	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9363/2021	MG	2021-02-16	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9364/2021	MG	2021-02-16	P.2	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/MG-FIOCRUZ-9365/2021	MG	2021-02-16	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9366/2021	MG	2021-02-16	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9367/2021	MG	2021-02-17	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9368/2021	MG	2021-02-17	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9369/2021	MG	2021-02-17	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9370/2021	MG	2021-02-18	B.1.1.7	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9371/2021	MG	2021-02-18	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9372/2021	MG	2021-02-18	P.1	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/MG-FIOCRUZ-9373/2021	MG	2021-02-18	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9374/2021	MG	2021-02-19	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9375/2021	MG	2021-02-20	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9376/2021	MG	2021-02-20	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9377/2021	MG	2021-02-21	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9378/2021	MG	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9379/2021	MG	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9381/2021	MG	2021-02-22	B.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9383/2021	MG	2021-02-22	B.1.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9384/2021	MG	2021-02-22	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9386/2021	MG	2021-02-23	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9387/2021	MG	2021-02-24	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9388/2021	MG	2021-02-24	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9390/2021	MG	2021-02-24	P.2	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/MG-FIOCRUZ-9392/2021	MG	2021-02-25	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9393/2021	MG	2021-02-25	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9394/2021	MG	2021-02-25	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9395/2021	MG	2021-02-25	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9397/2021	MG	2021-02-25	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MG-FIOCRUZ-9398/2021	MG	2021-02-26	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/MT-FIOCRUZ-21710/2020	MT	2020-05-28	None	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/PA-FIOCRUZ-14593/2021	PA	2021-02-17	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14594/2021	PA	2021-02-20	P.2	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14595/2021	PA	2021-02-22	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14596/2021	PA	2021-02-22	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14597/2021	PA	2021-02-21	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14598/2021	PA	2021-02-25	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14599/2021	PA	2021-02-28	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14600/2021	PA	2021-03-03	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14601/2021	PA	2021-03-02	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14602/2021	PA	2021-03-06	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14603/2021	PA	2021-03-09	P.1	2021-04-14	MiSeq_LVRS_066 / MiSeq_LVRS_069	NA
hCoV-19/Brazil/PA-FIOCRUZ-14604/2021	PA	2021-03-09	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14605/2021	PA	2021-03-09	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14606/2021	PA	2021-03-09	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14607/2021	PA	2021-03-09	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14609/2021	PA	2021-03-08	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14610/2021	PA	2021-03-08	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14611/2021	PA	2021-03-08	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14612/2021	PA	2021-03-09	P.2	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14613/2021	PA	2021-03-08	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14614/2021	PA	2021-03-09	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14615/2021	PA	2021-03-10	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14616/2021	PA	2021-03-09	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14617/2021	PA	2021-03-22	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14619/2021	PA	2021-03-20	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14620/2021	PA	2021-03-22	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14621/2021	PA	2021-03-22	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14622/2021	PA	2021-03-22	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14623/2021	PA	2021-03-22	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14624/2021	PA	2021-03-22	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14625/2021	PA	2021-03-23	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14626/2021	PA	2021-03-22	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14627/2021	PA	2021-03-23	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14628/2021	PA	2021-03-23	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14630/2021	PA	2021-03-23	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14631/2021	PA	2021-03-23	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-14632/2021	PA	2021-03-08	P.1	2021-04-14	MiSeq_LVRS_066	NA
hCoV-19/Brazil/PA-FIOCRUZ-4058/2021	PA	2021-01-13	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4059/2021	PA	2021-01-12	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4060/2021	PA	2021-01-12	B.1.1.28	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4061/2021	PA	2021-01-13	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4062/2021	PA	2021-01-11	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4064/2021	PA	2021-01-12	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4065/2021	PA	2021-01-12	B.1.1.28	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4066/2021	PA	2021-01-12	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4067/2021	PA	2021-01-12	B.1.1.28	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4068/2021	PA	2021-01-11	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4069/2021	PA	2021-01-11	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4070/2021	PA	2021-01-11	B.1.1.28	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4071/2021	PA	2021-01-11	B.1.1.28	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4072/2021	PA	2021-01-12	B.1.1.28	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4073/2021	PA	2021-01-11	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4074/2021	PA	2021-01-11	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4076/2021	PA	2021-01-11	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-4078/2021	PA	2021-01-07	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PA-FIOCRUZ-9197/2021	PA	2021-01-25	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9198/2021	PA	2021-01-25	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9199/2021	PA	2021-01-25	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9200/2021	PA	2021-01-26	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9201/2021	PA	2021-01-26	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9202/2021	PA	2021-02-03	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9203/2021	PA	2021-01-28	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9204/2021	PA	2021-01-29	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9206/2021	PA	2021-02-02	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9207/2021	PA	2021-02-02	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9209/2021	PA	2021-02-01	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9210/2021	PA	2021-02-03	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9212/2021	PA	2021-02-01	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9213/2021	PA	2021-01-03	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9214/2021	PA	2021-01-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9215/2021	PA	2021-02-03	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9216/2021	PA	2021-02-03	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9217/2021	PA	2021-02-03	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9218/2021	PA	2021-02-03	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9219/2021	PA	2021-02-05	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9220/2021	PA	2021-02-02	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9221/2021	PA	2021-02-08	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9222/2021	PA	2021-02-04	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9223/2021	PA	2021-02-05	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9224/2021	PA	2021-02-12	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9225/2021	PA	2021-02-12	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9226/2021	PA	2021-02-12	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9237/2021	PA	2021-02-08	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9238/2021	PA	2021-02-17	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9239/2021	PA	2021-02-17	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9240/2021	PA	2021-02-17	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9241/2021	PA	2021-02-17	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9242/2021	PA	2021-02-17	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9243/2021	PA	2021-02-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9244/2021	PA	2021-02-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9245/2021	PA	2021-02-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9246/2021	PA	2021-02-18	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9247/2021	PA	2021-02-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9248/2021	PA	2021-02-17	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9249/2021	PA	2021-02-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9250/2021	PA	2021-02-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9251/2021	PA	2021-02-18	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9252/2021	PA	2021-02-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9253/2021	PA	2021-02-18	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9254/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/PA-FIOCRUZ-9255/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9256/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9257/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9258/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9259/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9260/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9261/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9262/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9264/2021	PA	2021-02-21	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9265/2021	PA	2021-02-23	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9267/2021	PA	2021-02-22	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9268/2021	PA	2021-02-14	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9269/2021	PA	2021-02-19	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9270/2021	PA	2021-02-22	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9272/2021	PA	2021-02-23	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9273/2021	PA	2021-02-23	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9274/2021	PA	2021-02-22	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9275/2021	PA	2021-02-10	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PA-FIOCRUZ-9277/2021	PA	2021-02-10	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/PB-FIOCRUZ-16545/2020	PB	2020-04-27	B.1.1.33	2021-04-14	MiSeq_LVRS_021 / MiSeq_LVRS_069	NA
hCoV-19/Brazil/PB-FIOCRUZ-16558/2020	PB	2020-04-20	B.1.1.33	2021-04-14	MiSeq_LVRS_021 / MiSeq_LVRS_069	NA
hCoV-19/Brazil/PB-FIOCRUZ-16574-1P/2020	PB	2020-04-17	B.1.1	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/PB-FIOCRUZ-2825/2021	PB	2021-01-12	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PB-FIOCRUZ-2826/2021	PB	2021-01-12	P.1	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PB-FIOCRUZ-2827/2021	PB	2021-01-14	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PB-FIOCRUZ-2829/2021	PB	2021-01-13	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PB-FIOCRUZ-2830/2021	PB	2021-01-13	B.1.1.141	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PB-FIOCRUZ-2831/2021	PB	2021-01-13	B.1.1.29	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PB-FIOCRUZ-2832/2021	PB	2021-01-13	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/PB-FIOCRUZ-2833/2021	PB	2021-01-13	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
